 price:13300000, area:7420, bedrooms:4, bathrooms:2, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:12250000, area:8960, bedrooms:4, bathrooms:4, stories:4, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:3, prefarea:no, furnishingstatus:furnished 
 price:12215000, area:7500, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:3, prefarea:yes, furnishingstatus:furnished 
 price:11410000, area:7420, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished 
 price:9870000, area:8100, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:9800000, area:13200, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:9240000, area:3500, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished 
 price:8960000, area:8500, bedrooms:3, bathrooms:2, stories:4, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished 
 price:8890000, area:4600, bedrooms:3, bathrooms:2, stories:2, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished 
 price:8645000, area:8050, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:8645000, area:4560, bedrooms:3, bathrooms:2, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:8575000, area:8800, bedrooms:3, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished 
 price:8540000, area:6540, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:8295000, area:4880, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:yes, furnishingstatus:furnished 
 price:8120000, area:6840, bedrooms:5, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:8080940, area:7000, bedrooms:3, bathrooms:2, stories:4, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished 
 price:8043000, area:7482, bedrooms:3, bathrooms:2, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:no, parking:1, prefarea:yes, furnishingstatus:furnished 
 price:7980000, area:9000, bedrooms:4, bathrooms:2, stories:4, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished 
 price:7875000, area:6550, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:7840000, area:6360, bedrooms:3, bathrooms:2, stories:4, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:7560000, area:6000, bedrooms:4, bathrooms:2, stories:4, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:7525000, area:6000, bedrooms:3, bathrooms:2, stories:4, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:7490000, area:6600, bedrooms:3, bathrooms:1, stories:4, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:3, prefarea:yes, furnishingstatus:furnished 
 price:7350000, area:6000, bedrooms:4, bathrooms:2, stories:4, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:7245000, area:9000, bedrooms:4, bathrooms:2, stories:4, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:yes, furnishingstatus:furnished 
 price:7210000, area:6000, bedrooms:3, bathrooms:2, stories:4, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:7070000, area:6240, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:7035000, area:6360, bedrooms:4, bathrooms:2, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:7000000, area:11175, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:yes, furnishingstatus:furnished 
 price:6930000, area:8880, bedrooms:3, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:6930000, area:13200, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:yes, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:6860000, area:6000, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished 
 price:6790000, area:12090, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:6685000, area:6600, bedrooms:2, bathrooms:2, stories:4, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:6650000, area:4040, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:yes, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished 
 price:6650000, area:6420, bedrooms:3, bathrooms:2, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:6650000, area:6500, bedrooms:3, bathrooms:2, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:yes, furnishingstatus:furnished 
 price:6650000, area:5700, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:yes, furnishingstatus:furnished 
 price:6650000, area:6000, bedrooms:3, bathrooms:2, stories:3, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished 
 price:6615000, area:10500, bedrooms:3, bathrooms:2, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:yes, furnishingstatus:furnished 
